year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2015, 3,24,  ,  ,     ,33.16000,132.33000,  28.000, 5.80,203.0,21.0, 78.0,  46, 46,  0.007,   172800.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 3,14,  ,  ,     ,33.80000,135.66000,  33.000, 5.30,263.0,19.0,138.0,  16, 16,  0.012,   216000.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 1, 7,  ,  ,     ,33.95000,135.94000,  29.000, 5.80,239.0,24.0,114.0,  32, 50,  0.010,   345600.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 1,12,  ,  ,     ,35.01000,137.19000,  31.000, 5.60,293.0,12.0,168.0,  34, 24,  0.008,   259200.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 1, 3,  ,  ,     ,34.78000,136.83000,  29.000, 5.70,227.0,12.0,102.0,  80, 10,  0.013,   216000.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 1, 1,  ,  ,     ,34.87000,136.74001,  29.000, 5.60,197.0,12.0, 72.0,  30, 23,  0.011,   172800.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 1,10,  ,  ,     ,33.34000,132.56000,  31.000, 5.90,219.0,14.0, 94.0,  38, 50,  0.010,   259200.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2014,12,31,  ,  ,     ,33.68000,133.31000,  30.000, 5.80,253.0,10.0,128.0,  44, 30,  0.011,   345600.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2014,11, 2,  ,  ,     ,33.72000,135.62000,  27.000, 5.40,272.0,18.0,147.0,  30, 30,  0.004,   172800.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2014,12,26,  ,  ,     ,33.83000,133.61000,  28.000, 6.10,241.0,12.0,116.0,  58, 39,  0.021,   432000.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2014,10,23,  ,  ,     ,33.68000,133.10001,  30.000, 5.50,239.0,10.0,114.0,  74, 11,  0.006,   259200.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014,10,21,  ,  ,     ,33.49000,133.00000,  29.000, 5.40,242.0, 7.0,117.0,  10, 47,  0.009,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014,10,17,  ,  ,     ,33.67000,133.05000,  31.000, 5.80,247.0, 8.0,122.0,  56, 21,  0.013,   302400.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 9,21,  ,  ,     ,33.36000,132.52000,  30.000, 5.90,209.0,16.0, 84.0,  57, 55,  0.008,   216000.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 9,10,  ,  ,     ,33.29000,132.86000,  25.000, 5.60,210.0,13.0, 85.0,  10, 46,  0.016,   259200.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 8,30,  ,  ,     ,35.02000,137.41000,  31.000, 5.60,274.0,11.0,149.0,  24, 10,  0.036,   432000.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 8, 8,  ,  ,     ,34.88000,136.83000,  27.000, 6.00,198.0,12.0, 73.0,  33, 19,  0.050,   345600.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 8, 3,  ,  ,     ,35.45000,138.14999,  41.000, 5.70,247.0,16.0,122.0,  67, 10,  0.014,   432000.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7,13,  ,  ,     ,34.15000,136.02000,  32.000, 5.70,212.0,22.0, 87.0,  13, 27,  0.034,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7,27,  ,  ,     ,34.87000,137.17000,  27.000, 5.70,282.0,11.0,157.0,  43, 37,  0.006,   518400.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7,11,  ,  ,     ,34.16000,136.38000,  25.000, 5.70,219.0,19.0, 94.0,  25, 32,  0.013,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7, 9,  ,  ,     ,34.44000,136.62000,  23.000, 5.80,206.0,16.0, 81.0,  45, 51,  0.006,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7, 7,  ,  ,     ,34.70000,136.64999,  30.000, 5.50,225.0,14.0,100.0,  57, 15,  0.007,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7, 5,  ,  ,     ,34.69000,136.67999,  29.000, 5.60,211.0,11.0, 86.0,  15, 15,  0.038,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 7, 3,  ,  ,     ,34.90000,136.67999,  30.000, 5.40,197.0,12.0, 72.0,  34, 10,  0.012,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 6,26,  ,  ,     ,33.72000,135.53999,  27.000, 5.50,272.0,18.0,147.0,  16, 30,  0.012,   216000.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 5,14,  ,  ,     ,33.59000,133.39000,  27.000, 5.90,243.0,11.0,118.0,  80, 30,  0.008,   518400.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 5, 8,  ,  ,     ,33.55000,133.07001,  24.000, 6.00,210.0,13.0, 85.0,  80, 50,  0.007,   345600.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 5,12,  ,  ,     ,33.32000,132.97000,  23.000, 5.50,223.0,13.0, 98.0,  26, 37,  0.006,   172800.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 5, 5,  ,  ,     ,33.63000,132.82001,  30.000, 5.70,208.0,13.0, 83.0,  80, 19,  0.008,   259200.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 5, 2,  ,  ,     ,33.47000,132.64000,  31.000, 5.70,189.0,11.0, 64.0,  10, 40,  0.027,   259200.00,AIST-SSE,   Itaba et al. (2015); Itaba and Ando (2011),2018-06-26
2014, 4,24,  ,  ,     ,34.52000,136.52000,  28.000, 5.00,216.0,14.0, 91.0,  30, 30,  0.001,   129600.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 4,21,  ,  ,     ,34.82000,137.72000,  26.000, 5.40,261.0,11.0,136.0,  17, 30,  0.009,   691200.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 4, 9,  ,  ,     ,34.84000,137.73000,  27.000, 5.70,273.0,16.0,148.0,  55, 48,  0.004,   691200.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 2,22,  ,  ,     ,33.52000,132.55000,  29.000, 5.50,205.0,23.0, 80.0,  76, 40,  0.002,   216000.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 2,15,  ,  ,     ,33.95000,135.81000,  31.000, 5.30,239.0,24.0,114.0,  11, 19,  0.013,   302400.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 1,25,  ,  ,     ,34.72000,137.27000,  25.000, 5.80,285.0,11.0,160.0,  80, 42,  0.005,   345600.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 2, 3,  ,  ,     ,34.85000,137.36000,  28.000, 5.70,284.0,14.0,159.0,  38, 45,  0.007,   432000.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
