"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2021b-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2021). Slow slip events in the Kanto and Tokai regions of central Japan detected using global navigation satellite system data during 1994–2020. Geochemistry, Geophysics, Geosystems, 22, e2020GC009329. https://doi.org/10.1029/2020GC009329."
"    Notices:"
"      Covered Period: from July 24, 1994 to November 23, 2019."
"      The reference time indicates the centroid of the event."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2009, 2,27,  ,  ,     ,35.26600,140.01300,  17.900, 5.75,304.0,24.0,180.0,  46, 53,  0.006,  6307200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2009, 8, 8,  ,  ,     ,35.41600,139.91800,  25.400, 5.72,301.0,15.0,140.0,  60, 11,  0.019,  5356800.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2009,12,18,  ,  ,     ,35.35600,141.39999,  11.800, 6.20,239.0,18.0, 97.0,  77,112,  0.007,  1987200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2010, 7,16,  ,  ,     ,35.81300,140.61600,  34.400, 5.80,241.0, 9.0, 85.0,  29, 41,  0.013,  3456000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2010,10, 3,  ,  ,     ,34.64100,140.66901,   3.700, 5.79,280.0,18.0,124.0,  39, 36,  0.011,  3110400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2010,10,22,  ,  ,     ,35.23400,140.25500,  23.600, 5.77,299.0,18.0,124.0,  48, 47,  0.006,  4147200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2011,10,28,  ,  ,     ,34.82200,140.81400,   9.500, 6.69,262.0,11.0, 93.0,  49, 37,  0.183,   950400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2012, 2, 5,  ,  ,     ,35.78800,141.26300,  22.900, 5.96,215.0,10.0, 34.0,  41, 37,  0.018,  4320000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2012, 5,28,  ,  ,     ,35.33800,141.13800,  15.300, 6.16,237.0,17.0, 85.0,  56, 58,  0.017,  4320000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2013, 3,22,  ,  ,     ,35.07300,140.46500,  14.300, 5.65,277.0,20.0,109.0,  32, 24,  0.013,    86400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2014, 1, 3,  ,  ,     ,35.08200,141.08501,  12.400, 6.50,252.0,13.0, 96.0,  45, 59,  0.067,  1123200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2014, 4,12,  ,  ,     ,35.19000,140.79500,  15.900, 5.69,256.0,21.0,134.0,  51, 50,  0.004,  2073600.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2014, 4,30,  ,  ,     ,36.10900,140.76401,  35.600, 5.87,234.0,18.0, 98.0,  45, 35,  0.013,  6220800.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2015, 1,26,  ,  ,     ,35.48800,140.30400,  30.300, 5.89,282.0,12.0,130.0,  59, 59,  0.006,  6912000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2016,12, 1,  ,  ,     ,34.55200,141.60800,   8.200, 6.38,282.0,11.0,131.0,  39, 40,  0.074,  4838400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2017, 1,19,  ,  ,     ,36.08200,140.53900,  38.000, 5.85,243.0,21.0, 78.0,  43, 38,  0.012,   864000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2017, 4,29,  ,  ,     ,35.47600,139.74800,  19.100, 5.73,290.0,25.0,134.0,  39, 37,  0.009,  5529600.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2018, 1,17,  ,  ,     ,34.68600,141.62100,  11.400, 6.38,274.0, 7.0,129.0,  41, 39,  0.073,  6048000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2018, 2,16,  ,  ,     ,35.24900,140.87100,  16.300, 5.58,243.0,20.0, 66.0,  51, 38,  0.004,        0.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
2018, 6,13,  ,  ,     ,34.78100,140.89600,   8.200, 6.79,258.0,11.0, 87.0,  61, 39,  0.205,  1123200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30

