"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Sekine2010-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Sekine, S., Hirose, H., & Obara, K. (2010). Along-strike variations in short-term slow slip events in the southwest Japan subduction zone, Journal of Geophysical Research: Solid Earth, 115, B00A27. https://doi.org/10.1029/2008JB006059."
"    Notices:"
"      Covered period: from January 2001 to May 2008."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2005, 7, 9,  ,  ,     ,34.58200,136.69299,  25.000, 5.90,228.0,13.0,103.0,  45, 38,  0.012,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,11,29,  ,  ,     ,34.58800,136.74699,  24.000, 5.80,224.0,12.0, 99.0,  37, 45,  0.011,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008, 2,13,  ,  ,     ,33.84400,134.28999,  35.000, 6.00,258.0,29.0,129.0,  47, 25,  0.029,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,10,13,  ,  ,     ,34.65400,136.94701,  21.000, 6.00,237.0,16.0,112.0,  53, 54,  0.011,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,11, 7,  ,  ,     ,34.00200,134.29401,  36.000, 5.90,231.0,10.0,105.0,  78, 41,  0.008,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008, 3,14,  ,  ,     ,33.46700,132.91000,  28.000, 5.90,248.0,14.0,123.0,  62, 25,  0.013,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 9, 9,  ,  ,     ,33.49500,132.86200,  26.000, 5.70,226.0,27.0,100.0,  78, 26,  0.006,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,12,19,  ,  ,     ,33.10800,132.77400,  33.000, 6.10,260.0,32.0,130.0,  73, 41,  0.017,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 8,27,  ,  ,     ,33.62900,133.05099,  24.000, 5.80,217.0,20.0, 92.0,  71, 23,  0.008,   604800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 3,13,  ,  ,     ,33.54400,132.94701,  25.000, 5.70,240.0,20.0,113.0,  55, 18,  0.012,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006, 4,15,  ,  ,     ,33.45000,132.85800,  33.000, 6.00,231.0,16.0,105.0,  62, 37,  0.013,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006, 9, 8,  ,  ,     ,33.38300,132.92000,  40.000, 6.20,250.0,20.0,123.0,  71, 39,  0.026,   777600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,10,23,  ,  ,     ,33.39300,132.85001,  24.000, 5.70,234.0,28.0,107.0,  62, 21,  0.010,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005, 5,14,  ,  ,     ,33.60900,132.93100,  26.000, 5.80,237.0,19.0,111.0,  55, 39,  0.006,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,12,27,  ,  ,     ,33.40300,132.86900,  22.000, 5.90,233.0,29.0,106.0,  62, 47,  0.008,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005, 5,12,  ,  ,     ,33.25500,132.68700,  28.000, 6.00,237.0,33.0,108.0,  66, 42,  0.011,   172800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004, 4,19,  ,  ,     ,33.39500,132.92300,  28.000, 6.00,248.0,25.0,121.0,  75, 44,  0.010,   604800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004, 2,10,  ,  ,     ,33.17200,132.56599,  42.000, 6.00,235.0,28.0,118.0,  28, 47,  0.021,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,11, 7,  ,  ,     ,33.32400,132.92300,  45.000, 6.20,243.0,38.0,104.0,  66, 44,  0.024,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,11,19,  ,  ,     ,33.68200,133.34599,  30.000, 5.90,247.0,12.0,121.0,  66, 28,  0.014,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003, 8,30,  ,  ,     ,33.37300,132.83701,  32.000, 6.00,245.0,10.0,103.0,  28, 39,  0.026,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003, 4,17,  ,  ,     ,33.16600,132.47099,  28.000, 5.90,248.0,15.0,123.0,  44, 36,  0.014,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003, 8,27,  ,  ,     ,33.22200,132.62801,  22.000, 5.90,250.0,45.0,130.0,  80, 20,  0.013,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002, 8, 9,  ,  ,     ,33.59900,133.12601,  28.000, 5.70,237.0,25.0,110.0,  62, 18,  0.012,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002, 8, 6,  ,  ,     ,33.43800,132.83501,  29.000, 5.80,221.0,23.0, 95.0,  48, 36,  0.009,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002, 2,10,  ,  ,     ,33.48900,133.17000,  28.000, 5.90,250.0,22.0,123.0,  64, 33,  0.011,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002, 2,15,  ,  ,     ,33.42400,132.90700,  34.000, 6.00,242.0,25.0,115.0,  62, 31,  0.015,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001, 8,18,  ,  ,     ,33.72900,133.27901,  38.000, 5.90,235.0,16.0,110.0,  80, 36,  0.007,   172800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001, 8,16,  ,  ,     ,33.51700,132.86900,  26.000, 5.90,226.0, 1.0,101.0,  53, 47,  0.010,   172800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2001, 1, 4,  ,  ,     ,33.52800,133.00400,  19.000, 5.90,223.0,22.0, 97.0,  71, 44,  0.008,   691200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25

