time,lat,lon,depth,mag
19035.387146203702,0.3237,96.3796,10000.0,4.5
19030.343538506946,-0.4091,97.3518,10000.0,4.6
19025.81200503472,0.7928,98.5208,59150.0,4.7
19011.250377384258,-0.7122,99.0987,35000.0,4.6
19004.137284780092,0.463,96.8611,10000.0,4.6
19003.018404652776,0.1519,96.71,10000.0,5.2
18996.455326516203,-1.5098,99.4714,35000.0,4.5
18991.771908125,0.1856,96.6595,10000.0,4.6
18991.67333497685,-0.3514,98.7661,42380.0,4.6
18973.94232539352,-4.1991,101.3049,10000.0,4.6
18960.642879594907,-1.3075,99.7371,49990.0,4.6
18960.641966516203,-2.5579,99.5117,10000.0,4.5
18957.02850115741,-3.1708,101.6916,88820.0,4.6
18953.884647060186,0.3728,96.6335,10000.0,4.8
18950.469788287035,0.2242,96.701,10000.0,4.9
18948.146238194444,-3.5754,101.5892,59840.0,5.0
18943.447421145833,1.2867,98.8807,90120.0,5.0
18943.27318634259,0.201,98.5221,41500.0,4.6
18942.13416471065,0.5863,96.6701,10000.0,4.6
18941.600898680554,1.9401,96.6995,28470.0,4.7
18941.304352523148,0.2491,96.5784,9800.0,4.5
18935.33926471065,0.3836,96.754,10000.0,4.5
18934.06275297454,0.2152,96.6722,10000.0,4.7
18934.03513803241,0.9201,98.5404,67000.0,5.1
18933.624500289352,0.1717,96.675,10000.0,4.5
18933.616528333336,0.1448,96.6846,10000.0,4.9
18933.568942858798,0.266,96.6246,10000.0,4.9
18933.419538055557,0.2757,96.6903,10000.0,4.7
18932.908038055553,0.298,96.7281,10000.0,4.7
18932.776486979164,0.2161,96.7256,10000.0,4.7
18932.776388078706,0.2528,96.7126,10000.0,4.6
18932.71130275463,0.2088,96.7094,8000.0,6.0
18923.982242777776,-4.6852,101.9672,46530.0,4.8
18915.825393761574,1.4256,97.055,25380.0,4.5
18896.374923726853,-2.8649,100.0734,35000.0,4.7
18882.376627800924,-0.5225,99.7193,89040.0,5.0
18875.06958509259,-2.0443,99.68,35000.0,4.9
