Region_name Time_period Cluster_id Centroid_Lon(deg) Centroid_Lat(deg) Starting_time(year) Starting_time(month) Starting_time(day) Max_magnitude Median_inter-event_time(day) Duration(day) Number_of_events
SOLOMON1 2000-2004 cluster_1 161.084 -10.0256 2003 3 16 5. 13.93811 95.00049 7
SOLOMON1 2000-2004 cluster_2 161.266 -10.2488 2004 4 15 5.1 9.648682 36.54663 5
SOLOMON1 2000-2004 cluster_3 161.172 -10.5806 2002 9 20 6.3 2.5268555E-02 4.201050 14
SOLOMON1 2000-2004 cluster_4 162.047 -11.1266 2004 11 7 6.7 5.1025391E-02 4.448730 10
SOLOMON2 2000-2004 cluster_1 157.344 -8.756 2004 8 28 5.7 4.1503906E-02 4.160400 7
SOLOMON2 2000-2004 cluster_2 157.632 -8.81044 2002 4 25 5. 2.4475098E-02 62.59253 9
SOLOMON3 2000-2004 cluster_1 156.273 -7.4724 2003 10 23 4.8 24.61621 99.66431 5
SOLOMON3 2000-2004 cluster_2 156.244 -7.6944 2002 10 16 5.5 4.940857 68.76855 5
NEW_BRITAIN2 2000-2004 cluster_1 149.779 -6.808 2004 12 1 4.7 1.0986328E-02 0.4460449 5
NEW_BRITAIN2 2000-2004 cluster_2 150.556 -5.9368 2004 3 19 4.8 9.716431 43.41577 5
NEW_BRITAIN2 2000-2004 cluster_3 151.351 -6.08933 2003 12 18 5.2 6.9580078E-02 3.284180 6
NEW_BRITAIN2 2000-2004 cluster_4 151.285 -5.4716 2002 6 11 5. 0.7885132 3.426758 5
NEW_BRITAIN2 2000-2004 cluster_7 153.001 -5.5686 2003 4 14 4.7 0.1823730 3.497681 5
NEW_BRITAIN2 2000-2004 cluster_9 153.588 -4.59333 2004 7 27 4.8 0.5798340 14.91821 6
MALUKU 2000-2004 cluster_1 127.713 1.59986 2001 1 9 4.8 0.1555176 35.61316 7
MALUKU 2000-2004 cluster_2 126.417 1.12362 2001 8 26 6.1 3.4790039E-02 0.9268799 8
MALUKU 2000-2004 cluster_3 126.875 1.189 2004 5 26 5.2 7.105103 29.05029 5
SUMATRA1 2000-2004 cluster_1 101.88 -5.8258 2002 5 7 5.5 0.5361328 17.52502 5
SUMATRA1 2000-2004 cluster_2 102.118 -5.5028 2003 8 29 5.3 0.1014404 0.3630371 5
SUMATRA1 2000-2004 cluster_3 103.207 -5.85229 2001 1 4 5.4 1.612305 28.57349 7
SOUTH_SANDWICH1 2000-2004 cluster_1 333.897 -56.3318 2004 7 17 5.4 9.280029 54.39111 5
SOUTH_SANDWICH1 2000-2004 cluster_2 332.548 -55.9966 2004 3 23 5.5 3.814209 22.67871 7
SOUTH_SANDWICH1 2000-2004 cluster_3 332.786 -55.9566 2003 9 19 5.2 2.448486 13.93799 5
SOUTH_SANDWICH1 2000-2004 cluster_4 332.701 -55.8062 2002 7 1 5.6 4.254395 28.86096 6
SOUTH_SANDWICH1 2000-2004 cluster_6 333.159 -55.424 2000 9 14 5.4 27.74384 126.6982 5
SOUTH_SANDWICH1 2000-2004 cluster_8 330.507 -55.2237 2000 7 25 5.5 1.351440 109.6580 7
CENTRAL_CHILE1 2005-2009 cluster_1 288.389 -32.4394 2005 12 27 5.2 11.95270 45.49524 5
CENTRAL_CHILE1 2005-2009 cluster_2 288.105 -32.7721 2009 7 29 5.1 0.8985596 93.04175 7
CENTRAL_CHILE2 2005-2009 cluster_1 288.481 -30.309 2007 6 28 4.8 44.31897 163.9974 5
CENTRAL_CHILE2 2005-2009 cluster_2 288.161 -31.5754 2007 2 20 5.8 6.4453125E-02 36.80591 7
CENTRAL_CHILE3 2005-2009 cluster_1 289.171 -29.268 2008 9 20 5.4 68.12280 290.5317 5
CENTRAL_CHILE3 2005-2009 cluster_2 288.346 -30.0793 2008 3 6 4.9 12.75366 89.49023 6
CENTRAL_CHILE3 2005-2009 cluster_4 288.045 -31.3516 2006 8 13 5.8 0.7244873 268.4854 22
NORTH_CHILE 2005-2009 cluster_1 289.536 -23.2346 2007 8 9 5.7 3.2958984E-03 96.75171 9
PERU2 2005-2009 cluster_1 287.301 -17.462 2007 3 26 5.4 1.016968 26.18567 6
PERU3 2005-2009 cluster_1 283.925 -14.6792 2005 2 23 4.9 1.799255 70.67517 6
NICARAGUA 2005-2009 cluster_1 270.718 12.5805 2005 12 19 5.7 35.41760 152.4146 6
NICARAGUA 2005-2009 cluster_2 271.282 12.5434 2007 8 30 5. 5.332642 152.0863 8
NICARAGUA 2005-2009 cluster_3 272.532 11.9896 2007 6 24 5.2 7.496216 141.9017 14
NICARAGUA 2005-2009 cluster_4 272.551 13.0214 2006 2 20 5.5 56.08087 249.7483 5
GUATEMALA 2005-2009 cluster_1 265.737 14.518 2007 8 8 5.5 43.25793 167.7643 5
GUATEMALA 2005-2009 cluster_2 267.014 14.309 2008 8 27 5.8 10.30859 84.47192 7
GUATEMALA 2005-2009 cluster_3 267.958 13.9267 2007 10 11 5.2 15.02966 65.84302 6
GUATEMALA 2005-2009 cluster_4 268.77 13.3067 2007 8 2 4.8 24.89026 269.0481 8
GUATEMALA 2005-2009 cluster_5 269.27 13.6886 2007 5 7 6.7 2.615845 37.28955 5
MEXICO4 2005-2009 cluster_1 259.858 17.1187 2007 3 31 6. 0.5670166 28.31775 6
MEXICO4 2005-2009 cluster_2 259.718 16.6546 2008 3 1 5. 87.07825 380.9078 5
ALEUTIAN1 2005-2009 cluster_1 195.585 53.3925 2005 9 8 5.2 11.74524 188.4226 6
ALEUTIAN1 2005-2009 cluster_2 196.24 53.6699 2006 8 29 5.5 1.079468 95.31775 11
ALEUTIAN2 2005-2009 cluster_1 192.032 52.3938 2007 7 15 6.1 6.7138672E-03 4.2602539E-02 6
ALEUTIAN5 2005-2009 cluster_1 180.649 51.0823 2006 7 1 5.6 3.7719727E-02 0.9527588 10
ALEUTIAN5 2005-2009 cluster_2 180.617 51.0783 2007 12 19 5.6 4.1503906E-03 0.1372070 8
ALEUTIAN5 2005-2009 cluster_3 180.496 51.2258 2006 8 26 5.7 1.4465332E-02 5.9936523E-02 5
ALEUTIAN5 2005-2009 cluster_4 182.272 51.182 2006 9 10 5. 29.00446 97.43555 5
ALEUTIAN5 2005-2009 cluster_5 184.404 52.2024 2008 8 7 5.8 0.1548462 0.5285645 5
ALEUTIAN5 2005-2009 cluster_6 185.617 51.5541 2008 10 31 5.3 5.2734375E-02 0.4875488 8
ALEUTIAN6 2005-2009 cluster_1 179.574 51.1853 2005 5 29 5.2 2.7770996E-03 1.2268066E-02 5
ALEUTIAN6 2005-2009 cluster_2 179.205 51.1765 2009 1 17 5.1 5.9082031E-02 0.9113770 6
KAMCHATKA2 2005-2009 cluster_1 159.206 51.64 2008 5 31 5.2 0.2803955 41.35327 8
KAMCHATKA2 2005-2009 cluster_2 159.643 52.861 2009 10 8 5.1 9.418335 59.71289 5
KAMCHATKA2 2005-2009 cluster_3 159.685 53.1861 2008 11 19 5.1 14.77832 104.9868 7
KAMCHATKA4 2005-2009 cluster_1 153.992 47.1893 2006 11 8 5.6 0.1005859 0.7525635 8
KURILE1 2005-2009 cluster_1 153.289 46.3305 2006 8 1 6. 0.2702637 60.13184 13
KURILE1 2005-2009 cluster_2 152.564 46.8732 2006 12 22 5.1 2.069336 9.904663 5
KURILE1 2005-2009 cluster_4 154.357 48.2599 2008 12 28 5.4 0.1696777 1.420166 7
KURILE2 2005-2009 cluster_1 149.167 44.2533 2007 3 31 5.3 3.6376953E-02 2.454102 10
KURILE2 2005-2009 cluster_2 150.74 44.9762 2008 10 28 5. 0.2098389 4.472900 5
KURILE2 2005-2009 cluster_3 151.127 45.3306 2008 7 6 5.7 0.2918091 1.830811 5
KURILE3 2005-2009 cluster_1 146.923 43.5063 2005 3 16 5.4 6.196167 44.88208 7
KURILE3 2005-2009 cluster_2 147.168 44.4034 2007 11 3 5. 31.87823 121.1622 5
KURILE3 2005-2009 cluster_3 149.165 44.2099 2007 3 31 5.3 2.9296875E-02 4.920288 19
SOUTHERN_JAPAN_TRENCH 2005-2009 cluster_1 140.201 35.3144 2007 8 15 5.3 0.2803345 2.527710 5
SOUTHERN_JAPAN_TRENCH 2005-2009 cluster_2 141.307 35.2494 2007 6 20 5.1 6.3476562E-03 0.1750488 8
SOUTHERN_JAPAN_TRENCH 2005-2009 cluster_3 140.392 35.5484 2005 5 14 5.7 10.36826 36.40546 5
SOUTHERN_JAPAN_TRENCH 2005-2009 cluster_4 141.75 36.2234 2008 3 15 6.9 3.8452148E-03 53.11816 19
SOUTHERN_JAPAN_TRENCH 2005-2009 cluster_5 141.504 36.258 2006 2 3 5.7 1.1047363E-02 6.4208984E-02 5
IZU_BONIN4 2005-2009 cluster_1 143.288 23.3312 2008 4 16 5.1 5.011108 24.12866 5
MARIANA1 2005-2009 cluster_1 147.061 19.979 2009 1 4 5. 7.1533203E-02 9.055176 10
MARIANA2 2005-2009 cluster_1 147.017 18.0961 2008 11 1 5.6 4.004883 32.99487 7
MARIANA2 2005-2009 cluster_2 147.61 18.2142 2007 7 5 4.7 7.807922 71.71436 5
MARIANA6 2005-2009 cluster_1 141.416 12.2058 2006 1 23 5.3 1.2817383E-02 32.72644 5
LUZON 2005-2009 cluster_1 121.144 21.1302 2008 7 11 6.2 0.7465210 12.06213 11
LUZON 2005-2009 cluster_2 121.878 20.1657 2007 11 6 5.8 0.3945312 146.7793 6
LUZON 2005-2009 cluster_3 120.086 18.9838 2006 3 5 5.2 0.3763428 116.2062 13
PHILIPPINES1 2005-2009 cluster_1 125.788 11.7491 2005 7 28 5.5 2.2796631E-02 9.070251 7
PHILIPPINES1 2005-2009 cluster_2 124.651 12.8682 2008 4 18 5.2 59.56940 201.5502 5
PHILIPPINES2 2005-2009 cluster_1 126.638 8.85633 2008 12 20 5.6 0.1105957 3.050293 9
PHILIPPINES2 2005-2009 cluster_2 126.533 9.326 2005 2 10 5. 9.993286 48.63293 5
PHILIPPINES2 2005-2009 cluster_3 126.209 9.79383 2007 3 13 5.1 8.6791992E-02 3.083984 6
PHILIPPINES3 2005-2009 cluster_1 126.015 6.36029 2006 8 28 5. 18.28333 117.5397 7
PHILIPPINES3 2005-2009 cluster_2 126.393 6.52889 2009 11 16 5.6 0.4573975 41.99805 9
PHILIPPINES3 2005-2009 cluster_3 126.859 6.6622 2006 5 13 4.9 7.044312 59.02295 5
PHILIPPINES3 2005-2009 cluster_6 125.68 9.6662 2005 7 2 4.9 22.77158 108.1063 5
PHILIPPINES3 2005-2009 cluster_8 125.294 10.4513 2007 1 31 5.5 1.712036 169.2959 8
NEW_GUINEA1 2005-2009 cluster_1 141.397 -2.8374 2007 10 4 5.4 4.3762207E-02 17.73035 5
NEW_GUINEA1 2005-2009 cluster_2 141.682 -2.6412 2005 1 29 5.1 4.293854 31.47552 5
NEW_GUINEA1 2005-2009 cluster_3 141.682 -2.7718 2007 7 22 5.8 2.9479980E-02 0.1467285 5
NEW_GUINEA1 2005-2009 cluster_4 139.004 -1.9698 2009 3 19 5.1 0.1304932 0.5583496 5
TONGA1 2005-2009 cluster_1 186.481 -17.7865 2006 6 14 5.3 3.214966 46.19043 8
TONGA1 2005-2009 cluster_2 186.881 -16.0082 2006 5 16 4.9 1.297302 15.77368 5
TONGA2 2005-2009 cluster_1 184.772 -20.7323 2006 9 10 5.5 14.86438 147.8762 6
TONGA2 2005-2009 cluster_2 185.819 -20.852 2009 7 30 5.8 0.7143555 4.066895 6
TONGA2 2005-2009 cluster_3 185.814 -20.6923 2006 4 19 5.4 2.8686523E-02 14.16528 9
TONGA2 2005-2009 cluster_4 185.712 -20.803 2006 12 19 5.4 4.218384 17.63318 5
TONGA2 2005-2009 cluster_5 186.565 -18.9374 2006 6 23 5.2 3.136108 38.74292 7
TONGA3 2005-2009 cluster_1 184.502 -23.3598 2006 10 2 5.8 0.2757568 15.50146 11
TONGA3 2005-2009 cluster_2 184.801 -22.9655 2009 6 5 5. 4.457031 34.17651 8
TONGA3 2005-2009 cluster_3 184.777 -22.7656 2006 2 11 5.3 2.602600 58.40137 13
TONGA3 2005-2009 cluster_5 184.968 -22.4814 2008 4 27 5.2 9.902344 60.28760 5
TONGA3 2005-2009 cluster_6 185.765 -21.825 2008 10 20 4.9 1.087158 8.533447 5
TONGA3 2005-2009 cluster_7 185.568 -21.2999 2007 3 8 5.2 5.728821 46.13647 7
TONGA3 2005-2009 cluster_8 185.478 -21.2606 2006 5 10 5.3 1.408386 5.942505 5
TONGA4 2005-2009 cluster_1 183.728 -27.8638 2007 11 6 5.2 10.46997 105.5796 5
TONGA4 2005-2009 cluster_2 183.556 -27.3556 2009 2 2 5.1 0.5650635 7.725342 7
TONGA4 2005-2009 cluster_3 183.596 -27.1471 2007 6 18 5.1 0.5983276 17.21265 9
TONGA4 2005-2009 cluster_4 183.43 -27.0622 2008 9 30 4.7 4.4067383E-02 3.371826 5
TONGA4 2005-2009 cluster_5 183.63 -26.9261 2009 2 24 5.2 3.072510 28.80054 7
TONGA4 2005-2009 cluster_6 183.822 -26.773 2005 6 20 5.8 0.3835449 3.354126 6
TONGA4 2005-2009 cluster_7 183.972 -24.4096 2005 1 27 5.1 8.0718994E-02 1.684204 5
TONGA4 2005-2009 cluster_8 183.992 -23.7898 2005 10 12 5.5 1.095642 4.194946 5
KERMADEC1 2005-2009 cluster_3 182.98 -28.9342 2007 2 25 5.6 1.254517 14.42773 5
KERMADEC2 2005-2009 cluster_1 182.298 -31.3214 2009 5 18 6. 4.2968750E-02 5.386475 7
KERMADEC2 2005-2009 cluster_10 182.697 -28.4762 2005 11 1 4.8 41.41821 152.6434 6
KERMADEC2 2005-2009 cluster_2 182.895 -31.227 2008 8 8 5. 33.05469 134.8438 5
KERMADEC2 2005-2009 cluster_3 182.3 -31.2324 2009 11 5 5. 7.286011 40.87891 5
KERMADEC2 2005-2009 cluster_4 182.317 -30.496 2006 1 26 5.6 2.134033 11.48108 6
KERMADEC2 2005-2009 cluster_5 182.413 -30.0844 2008 11 29 5. 2.474365 11.74146 5
KERMADEC3 2005-2009 cluster_1 181.274 -34.178 2007 3 27 5.6 1.011230 126.4510 22
KERMADEC3 2005-2009 cluster_10 180.349 -32.9496 2005 10 3 5.3 70.91241 309.9139 5
KERMADEC3 2005-2009 cluster_11 181.04 -32.7572 2005 6 1 5.2 2.730194 14.82825 5
KERMADEC3 2005-2009 cluster_12 181.896 -32.3174 2008 5 16 5.4 0.1510010 1.113525 5
KERMADEC3 2005-2009 cluster_13 181.488 -32.3214 2005 8 28 5. 15.90375 63.73151 5
KERMADEC3 2005-2009 cluster_2 179.927 -33.5123 2007 10 30 5.5 52.81036 461.7645 7
KERMADEC3 2005-2009 cluster_3 181.391 -33.6924 2008 6 5 5. 0.5255737 5.478027 7
KERMADEC3 2005-2009 cluster_4 181.195 -33.504 2005 5 9 4.9 1.071411 24.54852 6
KERMADEC3 2005-2009 cluster_5 181.562 -33.4251 2007 3 17 5.2 2.9052734E-02 3.367920 8
KERMADEC3 2005-2009 cluster_6 181.448 -33.3499 2005 10 20 5.1 0.2528076 16.28497 7
KERMADEC3 2005-2009 cluster_7 181.352 -33.2982 2009 9 30 5.1 1.505371 25.43677 8
KERMADEC3 2005-2009 cluster_8 180.871 -33.2218 2006 10 17 5.2 5.564331 27.25940 5
KERMADEC3 2005-2009 cluster_9 181.672 -33.0713 2007 10 8 5.4 0.1859131 27.43848 21
KERMADEC4 2005-2009 cluster_1 180.513 -35.4222 2008 3 1 5.6 1.065125 3.643921 5
KERMADEC5 2005-2009 cluster_2 180.746 -34.9319 2005 6 26 4.9 1.628845 171.7661 7
VANUATU1 2005-2009 cluster_1 169.324 -21.2237 2007 9 27 6.1 5.0048828E-03 9.1918945E-02 15
VANUATU1 2005-2009 cluster_2 169.995 -21.348 2005 6 19 5.5 15.84247 62.05389 5
VANUATU1 2005-2009 cluster_3 170.109 -22.0267 2005 8 4 5.6 6.8756104E-02 7.235840 9
VANUATU2 2005-2009 cluster_1 169.462 -19.0562 2008 11 14 5.5 0.1262207 4.571533 6
VANUATU2 2005-2009 cluster_2 168.747 -20.1465 2008 4 6 6.4 7.4462891E-03 2.691162 6
VANUATU3 2005-2009 cluster_1 167.208 -16.518 2008 4 28 4.7 3.659546 41.75684 5
VANUATU3 2005-2009 cluster_2 167.399 -16.4286 2007 10 7 6.4 37.08179 156.7585 5
VANUATU3 2005-2009 cluster_3 167.821 -17.4439 2005 9 25 6.1 1.9165039E-02 0.4442749 10
VANUATU3 2005-2009 cluster_4 167.833 -17.7382 2009 6 1 6.3 1.1596680E-02 0.2290039 5
VANUATU3 2005-2009 cluster_7 168.952 -20.3776 2006 5 9 5.5 2.304504 15.18518 5
VANUATU4 2005-2009 cluster_1 166.635 -14.1416 2008 12 12 5.6 2.6489258E-02 5.558594 9
VANUATU4 2005-2009 cluster_10 167.753 -17.8187 2009 6 1 6.3 9.2529297E-02 2.822754 15
VANUATU4 2005-2009 cluster_2 166.672 -14.1891 2009 9 14 5.8 4.6997070E-02 29.53784 9
VANUATU4 2005-2009 cluster_3 166.835 -14.853 2007 5 25 5.8 0.7956543 24.76074 6
VANUATU4 2005-2009 cluster_4 166.708 -14.9314 2006 5 16 5.1 6.352356 41.74902 5
VANUATU4 2005-2009 cluster_5 167.393 -14.978 2005 7 10 5.5 3.056000 12.22418 5
VANUATU4 2005-2009 cluster_6 167.908 -14.931 2008 9 16 6.4 7.0068359E-02 52.21631 6
VANUATU5 2005-2009 cluster_1 165.925 -11.4869 2009 9 8 6.1 7.5683594E-02 30.14331 12
VANUATU5 2005-2009 cluster_2 165.873 -11.6049 2007 8 23 7.2 9.9487305E-03 9.833984 19
VANUATU5 2005-2009 cluster_3 166.207 -11.9789 2009 2 21 5.2 3.423462 31.55225 7
VANUATU6 2005-2009 cluster_1 163.138 -11.1384 2005 1 4 6.1 4.9285889E-02 60.77789 5
VANUATU6 2005-2009 cluster_2 165.543 -11.2519 2009 9 8 5.3 0.9128418 106.4912 18
SOLOMON2 2005-2009 cluster_1 156.729 -8.295 2007 2 24 5.3 3.202881 36.14319 5
SOLOMON3 2005-2009 cluster_1 156.139 -7.5668 2005 5 1 5.7 0.5478516 10.91626 5
NEW_BRITAIN1 2005-2009 cluster_1 155.11 -7.0468 2007 4 2 5.6 1.6357422E-02 0.9062500 10
NEW_BRITAIN1 2005-2009 cluster_2 155.396 -6.793 2005 5 18 5.1 8.766449 40.62262 5
NEW_BRITAIN2 2005-2009 cluster_10 152.249 -5.5086 2005 9 26 4.9 1.887695 8.200562 5
NEW_BRITAIN2 2005-2009 cluster_11 152.615 -4.7726 2007 5 4 5.4 20.15033 69.44165 5
NEW_BRITAIN2 2005-2009 cluster_12 152.771 -5.1775 2009 7 29 5.5 0.2109375 19.33398 6
NEW_BRITAIN2 2005-2009 cluster_13 153.7 -4.76114 2006 7 23 4.8 1.326172 31.45691 7
NEW_BRITAIN2 2005-2009 cluster_2 150.694 -6.13643 2005 2 17 6. 0.1634216 6.577148 7
NEW_BRITAIN2 2005-2009 cluster_3 150.488 -5.759 2006 10 23 5.2 12.34027 48.62244 5
NEW_BRITAIN2 2005-2009 cluster_4 151.323 -6.2325 2006 11 7 4.9 0.3577881 16.35815 12
NEW_BRITAIN2 2005-2009 cluster_5 151.356 -6.051 2009 9 30 5.3 1.156006 6.471924 7
NEW_BRITAIN2 2005-2009 cluster_6 151.801 -5.46362 2005 9 10 6.6 1.4831543E-02 19.28192 16
NEW_BRITAIN2 2005-2009 cluster_7 151.856 -5.38033 2007 7 25 5. 2.300049 13.83350 6
NEW_BRITAIN2 2005-2009 cluster_8 151.896 -5.2732 2007 11 1 5.4 1.905029 15.05261 5
NEW_BRITAIN2 2005-2009 cluster_9 152.212 -5.37517 2008 5 11 5.1 0.1608887 41.14075 6
SERAM 2005-2009 cluster_1 129.979 -3.1106 2005 4 12 4.7 22.56448 78.80066 5
SERAM 2005-2009 cluster_2 128.217 -2.50467 2006 10 25 5.3 72.89905 691.9635 6
MALUKU 2005-2009 cluster_1 127.614 1.7514 2005 2 24 4.7 15.87704 68.61700 5
MALUKU 2005-2009 cluster_2 126.852 1.87583 2008 1 20 5.3 11.84070 64.45837 6
MALUKU 2005-2009 cluster_3 127.792 1.3148 2006 11 25 4.9 34.89679 164.8938 5
MALUKU 2005-2009 cluster_4 126.975 0.8626 2006 2 11 5.5 9.022583 140.2764 10
MALUKU 2005-2009 cluster_5 126.117 0.452 2009 11 29 5.5 3.080566 26.52148 5
JAVA1 2005-2009 cluster_1 115.929 -11.1858 2006 5 11 4.9 0.1081543 54.81152 6
JAVA1 2005-2009 cluster_2 118.817 -10.5473 2009 11 21 6. 0.2426758 7.338867 6
JAVA3 2005-2009 cluster_1 108.663 -9.43333 2006 7 17 5.9 8.6669922E-03 0.2105713 12
SUMATRA2 2005-2009 cluster_1 100.352 -2.9286 2007 2 17 5.5 9.5764160E-02 207.2960 5
SUMATRA3 2005-2009 cluster_1 99.4672 -1.607 2005 4 7 5.3 9.3048096E-02 0.3583984 5
SOUTH_SANDWICH1 2005-2009 cluster_1 333.088 -56.172 2009 4 27 5.4 4.093994 18.06787 5
SOUTH_SANDWICH1 2005-2009 cluster_2 332.449 -55.9031 2007 9 28 5.4 5.072510 40.83447 8
SOUTH_SANDWICH1 2005-2009 cluster_3 333.116 -55.464 2009 8 31 5.5 1.376465 115.9829 9
SOUTH_SANDWICH1 2005-2009 cluster_4 332.168 -55.5464 2007 5 11 5.2 1.303345 53.72083 12
SOUTH_SANDWICH2 2005-2009 cluster_1 335.122 -58.7804 2008 4 28 6.1 2.0141602E-02 11.76819 7
SOUTH_SANDWICH2 2005-2009 cluster_2 334.79 -58.591 2008 8 6 5.3 0.5592041 16.40625 7
SOUTH_SANDWICH2 2005-2009 cluster_3 334.918 -56.9209 2009 1 23 5. 0.7775879 13.09351 8
SOUTH_SANDWICH2 2005-2009 cluster_4 334.037 -56.0642 2005 1 12 5.1 3.620453 34.51447 5
SOUTH_SANDWICH3 2005-2009 cluster_1 333.479 -60.2337 2007 3 22 5.7 1.817261 150.0302 13
SOUTH_SANDWICH3 2005-2009 cluster_2 332.807 -59.5216 2005 2 7 5.5 48.04004 205.7840 5
SOUTH_SANDWICH3 2005-2009 cluster_5 334.519 -57.411 2005 4 1 5.2 19.65424 83.75244 6
