start, end, lat,lon, mag 
2014.3927068723704, 2014.4712482468444, 24.0,121.8,6.4
2015.5988779803647, 2015.7054698457223, 24.4,121.9,6.5
2017.4221598877982, 2017.523141654979,  24.4,122  ,6.6


