long lat depth rake_slip
-83.34396 8.57449 12210.0 0.02144
-83.39254 8.59965 11850.0 0.02672
-83.44107 8.62446 11480.0 0.01822
-83.48934 8.64927 11130.0 0.00678
-83.53718 8.67442 10810.0 0.0
-83.5843 8.7003 10550.0 0.0
-83.63028 8.72739 10370.0 0.0
-83.67493 8.75608 10280.0 0.0
-83.71861 8.78638 10270.0 0.0
-83.7617 8.81797 10340.0 0.0
-82.8876 8.36459 15790.0 0.0
-82.93194 8.39724 15950.0 0.0
-82.97699 8.42882 16070.0 0.0
-83.02267 8.45938 16150.0 0.0
-83.06892 8.48901 16140.0 0.04319
-83.11567 8.51777 16050.0 0.06523
-83.16288 8.5457 15870.0 0.04076
-83.21051 8.57285 15610.0 0.01818
-83.25851 8.59929 15270.0 0.01537
-83.30685 8.62505 14880.0 0.04479
-83.35543 8.65021 14440.0 0.05455
-83.40396 8.67502 13990.0 0.03892
-83.45223 8.69983 13550.0 0.0163
-83.50007 8.72498 13160.0 0.0
-83.54718 8.75086 12830.0 0.0
-83.59317 8.77795 12590.0 0.0
-83.63782 8.80664 12450.0 0.0
-83.6815 8.83693 12430.0 0.0
-83.72459 8.86853 12490.0 0.0
-82.85049 8.41515 19060.0 0.0
-82.89482 8.4478 19260.0 0.0
-82.93987 8.47937 19410.0 0.0
-82.98556 8.50994 19490.0 0.0
-83.0318 8.53957 19480.0 0.04188
-83.07856 8.56832 19380.0 0.07668
-83.12577 8.59625 19170.0 0.07961
-83.1734 8.62341 18860.0 0.07354
-83.22139 8.64985 18460.0 0.06748
-83.26974 8.6756 17990.0 0.05222
-83.31832 8.70076 17470.0 0.02697
-83.36684 8.72558 16930.0 0.00884
-83.41512 8.75039 16400.0 0.0
-83.46295 8.77554 15920.0 0.0
-83.51007 8.80142 15510.0 0.0
-83.55605 8.8285 15210.0 0.0
-83.6007 8.8572 15030.0 0.0
-83.64438 8.88749 14970.0 0.0
-83.68748 8.91908 15020.0 0.0
-82.81337 8.46571 22840.0 0.00121
-82.85771 8.49836 23070.0 0.0
-82.90276 8.52993 23240.0 0.0
-82.94844 8.5605 23330.0 0.0031
-82.99469 8.59013 23310.0 0.02342
-83.04145 8.61888 23180.0 0.04099
-83.08866 8.64681 22930.0 0.05245
-83.13628 8.67397 22570.0 0.06546
-83.18428 8.70041 22100.0 0.06173
-83.23262 8.72616 21550.0 0.03025
-83.28121 8.75132 20950.0 0.0
-83.32973 8.77614 20310.0 0.0
-83.37801 8.80095 19680.0 0.0
-83.42584 8.8261 19110.0 0.0
-83.47296 8.85198 18620.0 0.0
-83.51894 8.87906 18240.0 0.0
-83.56359 8.90775 18010.0 0.0
-83.60727 8.93805 17920.0 0.0
-82.8206 8.54892 27390.0 0.0
-82.86565 8.58049 27570.0 0.0
-82.91133 8.61106 27660.0 0.0
-82.95758 8.64069 27620.0 0.0
-83.00433 8.66944 27460.0 0.0
-83.05155 8.69737 27160.0 0.00317
-83.09917 8.72453 26740.0 0.0193
-83.14717 8.75097 26200.0 0.02708
-83.19551 8.77672 25570.0 0.01394
-83.24409 8.80188 24860.0 0.0
-83.29262 8.8267 24130.0 0.0
-83.3409 8.85151 23400.0 0.0
-83.38873 8.87666 22730.0 0.0
-83.43585 8.90253 22140.0 0.0
-83.48183 8.92962 21690.0 0.0
-83.52648 8.95831 21400.0 0.0
-82.82854 8.63105 32400.0 0.0
-82.87422 8.66162 32480.0 0.0
-82.92047 8.69125 32410.0 0.0
-82.96722 8.72 32210.0 0.0
-83.01443 8.74793 31860.0 0.0
-83.06206 8.77509 31360.0 0.0
-83.11006 8.80152 30750.0 0.00214
-83.1584 8.82728 30020.0 0.00131
-83.20698 8.85244 29220.0 0.0
-83.25551 8.87726 28370.0 0.0
-83.30378 8.90207 27540.0 0.0
-83.35162 8.92722 26760.0 0.0
-83.39873 8.95309 26080.0 0.0
-83.44472 8.98018 25540.0 0.0
